Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:03:03,,Kenenisa BEKELE,13 JUN 1982,ETH,1,,Berlin (GER),25 SEP 2016,1278
2,2:03:05,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,,London (GBR),24 APR 2016,1278
3,2:03:13,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,2,,Berlin (GER),25 SEP 2016,1275
4,2:03:51,,Stanley Kipleting BIWOTT,21 APR 1986,KEN,2,,London (GBR),24 APR 2016,1264
5,2:04:24,,Tesfaye ABERA,31 MAR 1992,ETH,1,,Dubai (UAE),22 JAN 2016,1255
6,2:04:33,,Lemi BERHANU,13 SEP 1994,ETH,2,,Dubai (UAE),22 JAN 2016,1252
7,2:04:46,,Tsegaye MEKONNEN,15 JUN 1995,ETH,3,,Dubai (UAE),22 JAN 2016,1249
8,2:05:13,,Wilson Loyanae ERUPE,20 NOV 1988,KEN,1,,Seoul (KOR),20 MAR 2016,1241
9,2:05:16,,Sisay LEMMA,12 DEC 1990,ETH,4,,Dubai (UAE),22 JAN 2016,1240
10,2:05:21,,Daniel KINYUA,25 MAY 1992,KEN,1,,Amsterdam (NED),16 OCT 2016,1239
11,2:05:31,,Evans CHEBET,10 NOV 1988,KEN,3,,Berlin (GER),25 SEP 2016,1236
12,2:05:44,,Mule WASIHUN,20 OCT 1993,ETH,5,,Dubai (UAE),22 JAN 2016,1232
13,2:05:45,,Sammy KITWARA,26 NOV 1986,KEN,2,,Amsterdam (NED),16 OCT 2016,1232
14,2:05:47,,Marius KIMUTAI,10 DEC 1992,KEN,3,,Amsterdam (NED),16 OCT 2016,1231
15,2:05:54,,Laban Kipngetich KORIR,30 JUN 1985,KEN,4,,Amsterdam (NED),16 OCT 2016,1229
16,2:06:07,,Ezekiel CHEBII,03 JAN 1991,KEN,5,,Amsterdam (NED),16 OCT 2016,1225
17,2:06:10,,Kaan Kigen ÖZBILEN,15 JAN 1986,KEN,3,,Seoul (KOR),20 MAR 2016,1225
18,2:06:11,,Marius KIPSEREM,17 MAY 1988,KEN,1,,Rotterdam (NED),10 APR 2016,1224
19,2:06:22,,Solomon DEKSISA,11 MAR 1994,ETH,2,,Rotterdam (NED),10 APR 2016,1221
20,2:06:25,,Felix Kipchirchir KANDIE,10 APR 1987,KEN,6,,Amsterdam (NED),16 OCT 2016,1220
21,2:06:26,,Festus TALAM,20 OCT 1994,KEN,1,,Eindhoven (NED),09 OCT 2016,1220
22,2:06:27,,Geoffrey KIRUI,16 FEB 1993,KEN,7,,Amsterdam (NED),16 OCT 2016,1220
23,2:06:40,,Tadesse ABRAHAM,12 AUG 1982,SUI,4,,Seoul (KOR),20 MAR 2016,1216
24,2:06:45,,Abayneh AYELE,04 NOV 1987,ETH,6,,Dubai (UAE),22 JAN 2016,1215
