Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:14:04,,Brigid KOSGEI,20 FEB 1994,KEN,1,,"Chicago, IL (USA)",13 OCT 2019,1295
2,2:17:08,,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,,Dubai (UAE),25 JAN 2019,1263
3,2:17:41,,Worknesh DEGEFA,28 OCT 1990,ETH,2,,Dubai (UAE),25 JAN 2019,1257
4,2:18:30,,Roza DEREJE,09 MAY 1997,ETH,1,,Valencia (ESP),01 DEC 2019,1249
5,2:18:33,,Azmera ABREHA,31 JAN 1998,ETH,2,,Valencia (ESP),01 DEC 2019,1248
6,2:18:46,,Birhane DIBABA,11 SEP 1993,ETH,3,,Valencia (ESP),01 DEC 2019,1246
7,2:18:52,,Vivian Jepkemei CHERUIYOT,11 SEP 1983,KEN,4,,Valencia (ESP),01 DEC 2019,1245
8,2:19:10,,Valary JEMELI,08 JUN 1991,KEN,1,,Frankfurt (GER),27 OCT 2019,1242
9,2:19:26,,Degitu AZIMERAW,24 JAN 1999,ETH,1,,Amsterdam (NED),20 OCT 2019,1239
10,2:19:28,,Zeineba YIMER,17 JUN 1998,ETH,5,,Valencia (ESP),01 DEC 2019,1239
11,2:19:46,,Lonah Chemtai SALPETER,12 DEC 1988,ISR,1,,Praha (CZE),05 MAY 2019,1236
12,2:19:52,,Tigist GIRMA,12 JUL 1993,ETH,2,,Amsterdam (NED),20 OCT 2019,1235
13,2:20:14,,Ashete BEKERE,17 APR 1988,ETH,1,,Berlin (GER),29 SEP 2019,1231
14,2:20:21,,Mare DIBABA,20 OCT 1989,ETH,2,,Berlin (GER),29 SEP 2019,1230
15,2:20:24,,Workenesh EDESA,11 SEP 1992,ETH,6,,Valencia (ESP),01 DEC 2019,1229
16,2:20:39,,Purity Cherotich RIONORIPO,10 JUN 1993,KEN,7,,Valencia (ESP),01 DEC 2019,1227
17,2:20:40,,Ruti AGA,16 JAN 1994,ETH,1,,Tokyo (JPN),03 MAR 2019,1226
18,2:20:48,,Azmera GEBRU,31 OCT 1995,ETH,3,,Amsterdam (NED),20 OCT 2019,1225
19,2:20:51,,Ababel YESHANEH,22 JUL 1991,ETH,2,,"Chicago, IL (USA)",13 OCT 2019,1225
20,2:20:52,,Gladys CHERONO,12 MAY 1983,KEN,4,,London (GBR),28 APR 2019,1224
21,2:20:55,,Gelete BURKA,23 JAN 1986,ETH,3,,"Chicago, IL (USA)",13 OCT 2019,1224
22,2:20:58,,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,5,,London (GBR),28 APR 2019,1223
23,2:21:01,,Helen BEKELE,21 NOV 1994,ETH,2,,Tokyo (JPN),03 MAR 2019,1223
24,2:21:03,,Besu SADO,12 JAN 1996,ETH,4,,Amsterdam (NED),20 OCT 2019,1223
25,2:21:05,,Shure DEMISE,21 JAN 1996,ETH,3,,Tokyo (JPN),03 MAR 2019,1222
26,2:21:06,,Selly Chepyego KAPTICH,03 OCT 1985,KEN,3,,Berlin (GER),29 SEP 2019,1222
27,2:21:10,,Megertu ALEMU,12 OCT 1997,ETH,2,,Frankfurt (GER),27 OCT 2019,1221
28,2:21:11,,Vivian KIPLAGAT,09 NOV 1991,KEN,1,,Abu Dhabi (UAE),06 DEC 2019,1221
29,2:21:22,,Mimi BELETE,09 JUN 1988,BRN,5,,Amsterdam (NED),20 OCT 2019,1219
30,2:21:26,,Bornes CHEPKIRUI,23 NOV 1986,KEN,1,,Ljubljana (SLO),27 OCT 2019,1219
31,2:21:33,,Shitaye ESHETE,21 MAY 1990,BRN,2,,Ljubljana (SLO),27 OCT 2019,1217
32,2:21:50,,Florence KIPLAGAT,27 FEB 1987,KEN,4,,Tokyo (JPN),03 MAR 2019,1215
33,2:22:07,,Diana Chemtai KIPYOKEI,05 MAY 1994,KEN,3,,Ljubljana (SLO),27 OCT 2019,1212
34,2:22:11,,Meskerem ASSEFA,03 OCT 1991,ETH,3,,Frankfurt (GER),27 OCT 2019,1211
35,2:22:12,,Nancy Jepkosgei KIPROP,07 JUL 1979,KEN,1,,Wien (AUT),07 APR 2019,1211
36,2:22:16,,Sara HALL,15 APR 1983,USA,5,,Berlin (GER),29 SEP 2019,1210
36,2:22:16,,Magdalyne MASAI,21 NOV 1993,KEN,1,,Toronto (CAN),20 OCT 2019,1210
38,2:22:25,,Helalia JOHANNES,13 AUG 1980,NAM,1,,Nagoya (JPN),10 MAR 2019,1209
39,2:22:38,,Joyciline JEPKOSGEI,08 DEC 1993,KEN,1,,"New York, NY (USA)",03 NOV 2019,1206
40,2:22:40,,Bruktayit ESHETU,29 SEP 1990,ETH,2,,Toronto (CAN),20 OCT 2019,1206
41,2:22:41,,Afera GODFAY,25 SEP 1991,ETH,1,,Dongying (CHN),20 APR 2019,1206
42,2:22:43,,Betsy SAINA,30 JUN 1988,KEN,3,,Toronto (CAN),20 OCT 2019,1206
43,2:22:45,,Waganesh MEKASHA,16 JAN 1992,ETH,4,,Dubai (UAE),25 JAN 2019,1205
44,2:22:53,,Tadelech BEKELE,11 APR 1991,ETH,8,,Valencia (ESP),01 DEC 2019,1204
45,2:22:58,,Visiline JEPKESHO,30 DEC 1989,KEN,2,,Nagoya (JPN),10 MAR 2019,1203
46,2:23:08,,Emily SISSON,12 OCT 1991,USA,6,,London (GBR),28 APR 2019,1201
47,2:23:14,,Kuftu TAHIR,13 OCT 1995,ETH,4,,Ljubljana (SLO),27 OCT 2019,1200
48,2:23:19,,Birke DEBELE,12 SEP 1995,ETH,4,,Toronto (CAN),20 OCT 2019,1199
48,2:23:19,,Yebrgual MELESE,18 APR 1990,ETH,1,,Shanghai (CHN),17 NOV 2019,1199
50,2:23:30,,Racheal MUTGAA,12 DEC 1988,KEN,5,,Toronto (CAN),20 OCT 2019,1198
51,2:23:31,,Sutume Asefa KEBEDE,11 DEC 1994,ETH,1,,Beijing (CHN),03 NOV 2019,1197
52,2:23:33,,Meseret DEFAR,19 NOV 1983,ETH,4,,Nagoya (JPN),10 MAR 2019,1197
53,2:23:36,,Stellah Jepngetich BARSOSIO,12 MAR 1993,KEN,2,,Rotterdam (NED),07 APR 2019,1197
54,2:23:40,,Hirut TIBEBU,13 DEC 1994,ETH,1,,Istanbul (TUR),03 NOV 2019,1196
55,2:23:43,,Bedatu HIRPA,28 APR 1999,ETH,5,,Tokyo (JPN),03 MAR 2019,1195
56,2:23:44,,Desi Jisa MOKONIN,12 JUL 1997,BRN,1,,Seoul (KOR),17 MAR 2019,1195
57,2:23:50,,Hiwot GEBREKIDAN,11 MAY 1995,ETH,1,,Guangzhou (CHN),08 DEC 2019,1194
57,2:23:50,,Peres JEPCHIRCHIR,27 SEP 1993,KEN,1,,Saitama (JPN),08 DEC 2019,1194
59,2:23:52,,Reia IWADE,08 DEC 1994,JPN,5,,Nagoya (JPN),10 MAR 2019,1194
60,2:23:57,,Melat Yisak KEJETA,27 SEP 1992,GER,6,,Berlin (GER),29 SEP 2019,1193
61,2:23:59,,Monica JEPKOECH,01 JAN 1983,KEN,6,,Nagoya (JPN),10 MAR 2019,1193
62,2:24:00,,Sara DOSSENA,22 NOV 1984,ITA,7,,Nagoya (JPN),10 MAR 2019,1193
63,2:24:03,,Wude AYALEW,04 JUL 1987,ETH,2,,Abu Dhabi (UAE),06 DEC 2019,1192
64,2:24:09,,Kayoko FUKUSHI,25 MAR 1982,JPN,8,,Nagoya (JPN),10 MAR 2019,1191
65,2:24:11,,Sinead DIVER,17 FEB 1977,AUS,7,,London (GBR),28 APR 2019,1191
66,2:24:13,,Ruth CHEBITOK,26 DEC 1990,KEN,6,,Toronto (CAN),20 OCT 2019,1190
67,2:24:15,,Tigist ABAYECHEW,22 FEB 1994,ETH,2,,Istanbul (TUR),03 NOV 2019,1190
68,2:24:16,,Maurine CHEPKEMOI,24 MAY 1998,KEN,3,,Istanbul (TUR),03 NOV 2019,1190
68,2:24:16,,Prisca JEPTOO,24 JUN 1984,KEN,9,,Valencia (ESP),01 DEC 2019,1190
70,2:24:19,,Miyuki UEHARA,22 NOV 1995,JPN,9,,Nagoya (JPN),10 MAR 2019,1189
