Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Time,Time_in_seconds,Nat_Corrected,Two_Letter_ISO,Flag_Datawrapper,Country_Name,Gender
1,2:03:03,,Kenenisa BEKELE,13 JUN 1982,ETH,1,,Berlin (GER),25 SEP 2016,1278,2016,0 days 02:03:03,7383,ETH,et,:et:,Ethiopia,F
2,2:03:05,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,,London (GBR),24 APR 2016,1278,2016,0 days 02:03:05,7385,KEN,ke,:ke:,Kenya,F
3,2:03:13,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,2,,Berlin (GER),25 SEP 2016,1275,2016,0 days 02:03:13,7393,KEN,ke,:ke:,Kenya,F
4,2:03:51,,Stanley Kipleting BIWOTT,21 APR 1986,KEN,2,,London (GBR),24 APR 2016,1264,2016,0 days 02:03:51,7431,KEN,ke,:ke:,Kenya,F
5,2:04:24,,Tesfaye ABERA,31 MAR 1992,ETH,1,,Dubai (UAE),22 JAN 2016,1255,2016,0 days 02:04:24,7464,ETH,et,:et:,Ethiopia,F
6,2:04:33,,Lemi BERHANU,13 SEP 1994,ETH,2,,Dubai (UAE),22 JAN 2016,1252,2016,0 days 02:04:33,7473,ETH,et,:et:,Ethiopia,F
7,2:04:46,,Tsegaye MEKONNEN,15 JUN 1995,ETH,3,,Dubai (UAE),22 JAN 2016,1249,2016,0 days 02:04:46,7486,ETH,et,:et:,Ethiopia,F
8,2:05:13,,Wilson Loyanae ERUPE,20 NOV 1988,KEN,1,,Seoul (KOR),20 MAR 2016,1241,2016,0 days 02:05:13,7513,KEN,ke,:ke:,Kenya,F
9,2:05:16,,Sisay LEMMA,12 DEC 1990,ETH,4,,Dubai (UAE),22 JAN 2016,1240,2016,0 days 02:05:16,7516,ETH,et,:et:,Ethiopia,F
10,2:05:21,,Daniel KINYUA,25 MAY 1992,KEN,1,,Amsterdam (NED),16 OCT 2016,1239,2016,0 days 02:05:21,7521,KEN,ke,:ke:,Kenya,F
