Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Time,Time_in_seconds,Nat_Corrected,Two_Letter_ISO,Flag_Datawrapper,Country_Name,Gender
1,2:14:04,,Brigid KOSGEI,20 FEB 1994,KEN,1,,"Chicago, IL (USA)",13 OCT 2019,1295,2019,0 days 02:14:04,8044,KEN,ke,:ke:,Kenya,F
2,2:17:08,,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,,Dubai (UAE),25 JAN 2019,1263,2019,0 days 02:17:08,8228,KEN,ke,:ke:,Kenya,F
3,2:17:41,,Worknesh DEGEFA,28 OCT 1990,ETH,2,,Dubai (UAE),25 JAN 2019,1257,2019,0 days 02:17:41,8261,ETH,et,:et:,Ethiopia,F
4,2:18:30,,Roza DEREJE,09 MAY 1997,ETH,1,,Valencia (ESP),01 DEC 2019,1249,2019,0 days 02:18:30,8310,ETH,et,:et:,Ethiopia,F
5,2:18:33,,Azmera ABREHA,31 JAN 1998,ETH,2,,Valencia (ESP),01 DEC 2019,1248,2019,0 days 02:18:33,8313,ETH,et,:et:,Ethiopia,F
6,2:18:46,,Birhane DIBABA,11 SEP 1993,ETH,3,,Valencia (ESP),01 DEC 2019,1246,2019,0 days 02:18:46,8326,ETH,et,:et:,Ethiopia,F
7,2:18:52,,Vivian Jepkemei CHERUIYOT,11 SEP 1983,KEN,4,,Valencia (ESP),01 DEC 2019,1245,2019,0 days 02:18:52,8332,KEN,ke,:ke:,Kenya,F
8,2:19:10,,Valary JEMELI,08 JUN 1991,KEN,1,,Frankfurt (GER),27 OCT 2019,1242,2019,0 days 02:19:10,8350,KEN,ke,:ke:,Kenya,F
9,2:19:26,,Degitu AZIMERAW,24 JAN 1999,ETH,1,,Amsterdam (NED),20 OCT 2019,1239,2019,0 days 02:19:26,8366,ETH,et,:et:,Ethiopia,F
10,2:19:28,,Zeineba YIMER,17 JUN 1998,ETH,5,,Valencia (ESP),01 DEC 2019,1239,2019,0 days 02:19:28,8368,ETH,et,:et:,Ethiopia,F
11,2:19:46,,Lonah Chemtai SALPETER,12 DEC 1988,ISR,1,,Praha (CZE),05 MAY 2019,1236,2019,0 days 02:19:46,8386,ISR,il,:il:,Israel,F
12,2:19:52,,Tigist GIRMA,12 JUL 1993,ETH,2,,Amsterdam (NED),20 OCT 2019,1235,2019,0 days 02:19:52,8392,ETH,et,:et:,Ethiopia,F
13,2:20:14,,Ashete BEKERE,17 APR 1988,ETH,1,,Berlin (GER),29 SEP 2019,1231,2019,0 days 02:20:14,8414,ETH,et,:et:,Ethiopia,F
14,2:20:21,,Mare DIBABA,20 OCT 1989,ETH,2,,Berlin (GER),29 SEP 2019,1230,2019,0 days 02:20:21,8421,ETH,et,:et:,Ethiopia,F
15,2:20:24,,Workenesh EDESA,11 SEP 1992,ETH,6,,Valencia (ESP),01 DEC 2019,1229,2019,0 days 02:20:24,8424,ETH,et,:et:,Ethiopia,F
16,2:20:39,,Purity Cherotich RIONORIPO,10 JUN 1993,KEN,7,,Valencia (ESP),01 DEC 2019,1227,2019,0 days 02:20:39,8439,KEN,ke,:ke:,Kenya,F
17,2:20:40,,Ruti AGA,16 JAN 1994,ETH,1,,Tokyo (JPN),03 MAR 2019,1226,2019,0 days 02:20:40,8440,ETH,et,:et:,Ethiopia,F
18,2:20:48,,Azmera GEBRU,31 OCT 1995,ETH,3,,Amsterdam (NED),20 OCT 2019,1225,2019,0 days 02:20:48,8448,ETH,et,:et:,Ethiopia,F
19,2:20:51,,Ababel YESHANEH,22 JUL 1991,ETH,2,,"Chicago, IL (USA)",13 OCT 2019,1225,2019,0 days 02:20:51,8451,ETH,et,:et:,Ethiopia,F
20,2:20:52,,Gladys CHERONO,12 MAY 1983,KEN,4,,London (GBR),28 APR 2019,1224,2019,0 days 02:20:52,8452,KEN,ke,:ke:,Kenya,F
21,2:20:55,,Gelete BURKA,23 JAN 1986,ETH,3,,"Chicago, IL (USA)",13 OCT 2019,1224,2019,0 days 02:20:55,8455,ETH,et,:et:,Ethiopia,F
22,2:20:58,,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,5,,London (GBR),28 APR 2019,1223,2019,0 days 02:20:58,8458,KEN,ke,:ke:,Kenya,F
