Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:06:20,,Haile GEBRSELASSIE,18 APR 1973,ETH,1,,Amsterdam (NED),16 OCT 2005,1222
2,2:07:02,,Felix LIMO,22 AUG 1980,KEN,1,,"Chicago, IL (USA)",09 OCT 2005,1210
3,2:07:09,,Benjamin MAIYO,06 OCT 1978,KEN,2,,"Chicago, IL (USA)",09 OCT 2005,1208
4,2:07:14,,Daniel NJENGA,07 MAY 1976,KEN,3,,"Chicago, IL (USA)",09 OCT 2005,1207
5,2:07:26,,Martin Kiptolo LEL,29 OCT 1978,KEN,1,,London (GBR),17 APR 2005,1203
6,2:07:28,,Evans RUTTO,08 APR 1978,KEN,4,,"Chicago, IL (USA)",09 OCT 2005,1203
7,2:07:38,,Julio REY,13 JAN 1972,ESP,1,,Hamburg (GER),24 APR 2005,1200
8,2:07:41,,Toshinari TAKAOKA,24 SEP 1970,JPN,1,,Tokyo (JPN),13 FEB 2005,1199
8,2:07:41,,Philip MANYIM,24 MAR 1978,KEN,1,,Berlin (GER),25 SEP 2005,1199
10,2:07:46,,Patrick Mutuku IVUTI,30 JUL 1978,KEN,5,,"Chicago, IL (USA)",09 OCT 2005,1198
11,2:07:49,,Jaouad GHARIB,22 MAY 1972,MAR,2,,London (GBR),17 APR 2005,1197
12,2:07:50,,Jimmy Mwangangi MUINDI,14 AUG 1973,KEN,1,,Rotterdam (NED),10 APR 2005,1196
13,2:08:02,,Jackson KOECH,26 DEC 1978,KEN,2,,Rotterdam (NED),10 APR 2005,1193
14,2:08:04,,Salim KIPSANG,22 DEC 1979,KEN,1,,Paris (FRA),10 APR 2005,1192
15,2:08:17,,Paul Kipkemboi BIWOTT,18 APR 1978,KEN,2,,Paris (FRA),10 APR 2005,1189
16,2:08:27,,William KIPLAGAT,21 JUN 1972,KEN,1,,Seoul (KOR),06 NOV 2005,1186
17,2:08:29,,Wilfred Kibet KIGEN,23 FEB 1975,KEN,1,,Frankfurt (GER),30 OCT 2005,1185
17,2:08:29,,Dmytri BARANOVSKIY,28 JUL 1979,UKR,1,,Fukuoka (JPN),04 DEC 2005,1185
19,2:08:30,,Jason MBOTE,05 JAN 1977,KEN,2,,Frankfurt (GER),30 OCT 2005,1185
20,2:08:32,,Hendrick RAMAALA,02 FEB 1972,RSA,3,,London (GBR),17 APR 2005,1185
21,2:08:34,,Wilson Kipkemboi KIGEN,10 AUG 1980,KEN,3,,Frankfurt (GER),30 OCT 2005,1184
22,2:08:36,,Charles Kibiwott SERONEI,08 AUG 1974,KEN,4,,Frankfurt (GER),30 OCT 2005,1184
23,2:08:45,,Boniface USISIVU,05 SEP 1974,KEN,1,,Eindhoven (NED),09 OCT 2005,1181
23,2:08:45,,Philip SINGOEI,31 DEC 1975,KEN,2,,Eindhoven (NED),09 OCT 2005,1181
25,2:08:52,,Luke KIBET,12 APR 1983,KEN,3,,Eindhoven (NED),09 OCT 2005,1179
26,2:08:53,,William KIPSANG,26 JUN 1977,KEN,1,,Seoul (KOR),13 MAR 2005,1179
27,2:08:58,,Peter Kiplagat CHEBET,24 JUN 1976,KEN,2,,Berlin (GER),25 SEP 2005,1177
27,2:08:58,,Daniel YEGO,28 AUG 1979,KEN,2,,Amsterdam (NED),16 OCT 2005,1177
29,2:09:00,,Joseph RIRI,1973,KEN,1,,Otsu (JPN),06 MAR 2005,1177
30,2:09:03,,José RÍOS,15 MAR 1974,ESP,2,,Otsu (JPN),06 MAR 2005,1176
30,2:09:03,,Abdelkader EL MOUAZIZ,1969,MAR,4,,London (GBR),17 APR 2005,1176
32,2:09:09,,John Ekiru KELAI,29 DEC 1976,KEN,4,,Eindhoven (NED),09 OCT 2005,1174
33,2:09:10,,Michitaka HOSOKAWA,26 APR 1976,JPN,3,,Otsu (JPN),06 MAR 2005,1174
33,2:09:10,,Joshua CHELANGA,07 APR 1973,KEN,4,,Berlin (GER),25 SEP 2005,1174
35,2:09:13,,Wataru OKUTANI,09 JAN 1975,JPN,4,,Otsu (JPN),06 MAR 2005,1173
36,2:09:17,,Tesfaye TOLA,19 OCT 1974,ETH,3,,Amsterdam (NED),16 OCT 2005,1172
37,2:09:18,,Yuko MATSUMIYA,21 FEB 1980,JPN,5,,Otsu (JPN),06 MAR 2005,1172
38,2:09:20,,Noah BOR,28 JUL 1977,KEN,5,,Eindhoven (NED),09 OCT 2005,1171
39,2:09:21,,Thomas CHEMITEI,22 MAY 1978,KEN,6,,Eindhoven (NED),09 OCT 2005,1171
40,2:09:22,,Laban KIPKEMBOI,30 DEC 1977,KEN,6,,"Chicago, IL (USA)",09 OCT 2005,1171
41,2:09:24,,Gashaw MELESE ASFAW,26 SEP 1978,ETH,3,,Paris (FRA),10 APR 2005,1170
42,2:09:25,,Stefano BALDINI,25 MAY 1971,ITA,5,,London (GBR),17 APR 2005,1170
43,2:09:27,,Elijah MUTAI CHEM,01 APR 1978,KEN,1,,Chuncheon (KOR),23 OCT 2005,1169
44,2:09:31,,Jon BROWN,27 FEB 1971,GBR,6,,London (GBR),17 APR 2005,1168
45,2:09:35,,Mark SAINA,10 NOV 1970,KEN,1,,"Los Angeles, CA (USA)",06 MAR 2005,1167
46,2:09:46,,Gudisa SHENTAMA,19 JUN 1980,ETH,4,,Rotterdam (NED),10 APR 2005,1164
47,2:09:48,,Atsushi FUJITA,06 NOV 1976,JPN,3,,Fukuoka (JPN),04 DEC 2005,1164
48,2:09:58,,Satoshi IRIFUNE,14 DEC 1975,JPN,1,,Beppu (JPN),06 FEB 2005,1161
49,2:09:59,,Hélder ORNELAS,06 MAY 1974,POR,1,,Milano (ITA),04 DEC 2005,1160
50,2:10:05,,Leonid SHVETSOV,28 MAR 1969,RUS,5,,Frankfurt (GER),30 OCT 2005,1159
51,2:10:10,,Takashi TOKUNAGA,06 JUN 1981,JPN,6,,Otsu (JPN),06 MAR 2005,1157
51,2:10:10,,Joseph NGOLEPUS,10 APR 1975,KEN,5,,Berlin (GER),25 SEP 2005,1157
53,2:10:11,,Mola SHIMELIS,1982,ETH,6,,Berlin (GER),25 SEP 2005,1157
54,2:10:12,,Toshiya KATAYAMA,23 APR 1973,JPN,7,,Otsu (JPN),06 MAR 2005,1157
54,2:10:12,,Teferi WODAJO,27 JAN 1982,ETH,7,,Eindhoven (NED),09 OCT 2005,1157
54,2:10:12,,Joel RONO,1977,KEN,8,,Eindhoven (NED),09 OCT 2005,1157
57,2:10:13,,Daniel Kiplagat CHERIBO,1981,KEN,5,,Paris (FRA),10 APR 2005,1157
58,2:10:14,,Christopher CHEBOIBOCH,03 MAR 1977,KEN,5,,Rotterdam (NED),10 APR 2005,1156
59,2:10:17,,Stanley LELEITO,15 JUN 1984,KEN,1,,Zürich (SUI),03 APR 2005,1156
60,2:10:21,,Christopher ISEGWE,22 FEB 1976,TAN,2,,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1154
61,2:10:23,,Toshinari SUWA,29 JAN 1977,JPN,7,,London (GBR),17 APR 2005,1154
62,2:10:25,,Patrick TAMBWÉ,05 MAY 1975,COD,6,,Paris (FRA),10 APR 2005,1153
63,2:10:31,,Rodgers ROP,16 FEB 1976,KEN,7,,Paris (FRA),10 APR 2005,1152
64,2:10:34,,Erick NZIOKI,1979,KEN,2,,Zürich (SUI),03 APR 2005,1151
64,2:10:34,,Timothy CHERIGAT,29 DEC 1976,KEN,8,,"Chicago, IL (USA)",09 OCT 2005,1151
66,2:10:40,,Ashebir Jate DEMISSIE,1977,ETH,3,,Hamburg (GER),24 APR 2005,1149
67,2:10:42,,Steven CHEPTOT MATEBO,30 MAR 1974,KEN,1,,Praha (CZE),22 MAY 2005,1149
68,2:10:45,,Getuli AMNAAY BAYO,07 JUN 1980,TAN,3,,Zürich (SUI),03 APR 2005,1148
69,2:10:48,,Migidio BOURIFA,31 JAN 1969,ITA,1,,Trieste (ITA),08 MAY 2005,1147
70,2:10:49,,Degene GUTA,05 AUG 1981,ETH,1,,Dubai (UAE),06 JAN 2005,1147
71,2:10:51,,Zebedaiyo BAYO,20 MAY 1976,TAN,2,,Tokyo (JPN),13 FEB 2005,1146
