Year,KEN,ETH,JPN,RUS,USA,CHN,MAR,BRN,ITA,ERI
2004,56.0,14.0,36.0,17.0,11.0,7.0,4.0,,9.0,
2005,67.0,19.0,32.0,18.0,3.0,6.0,2.0,,6.0,
2006,71.0,18.0,26.0,17.0,6.0,8.0,7.0,,6.0,
2007,84.0,18.0,25.0,11.0,1.0,12.0,4.0,,2.0,1.0
2008,80.0,29.0,25.0,13.0,2.0,9.0,4.0,,2.0,2.0
2009,77.0,50.0,21.0,13.0,5.0,6.0,3.0,1.0,4.0,1.0
2010,70.0,67.0,14.0,9.0,3.0,6.0,5.0,,,2.0
2011,85.0,52.0,16.0,5.0,2.0,6.0,3.0,2.0,4.0,2.0
2012,80.0,64.0,15.0,3.0,6.0,7.0,1.0,,1.0,1.0
2013,80.0,69.0,16.0,1.0,2.0,,1.0,,1.0,3.0
2014,78.0,71.0,13.0,4.0,4.0,1.0,,2.0,2.0,1.0
2015,84.0,70.0,11.0,1.0,3.0,3.0,,2.0,,2.0
2016,97.0,64.0,13.0,1.0,4.0,1.0,,4.0,,1.0
2017,98.0,62.0,14.0,,6.0,,1.0,5.0,,2.0
2018,73.0,75.0,15.0,,6.0,,3.0,10.0,,2.0
2019,74.0,86.0,9.0,,5.0,,1.0,5.0,1.0,2.0
2020,35.0,89.0,27.0,1.0,6.0,2.0,3.0,4.0,2.0,1.0
2021,70.0,71.0,21.0,,5.0,,2.0,3.0,1.0,9.0
2022,64.0,79.0,14.0,,4.0,,3.0,2.0,1.0,7.0
2023,62.0,75.0,13.0,,4.0,1.0,2.0,4.0,2.0,3.0
