Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:19:41,,Tirfi TSEGAYE,25 NOV 1984,ETH,1,,Dubai (UAE),22 JAN 2016,1237
2,2:20:45,,Aberu KEBEDE,12 SEP 1986,ETH,1,,Berlin (GER),25 SEP 2016,1226
3,2:20:48,,Amane Beriso SHANKULE,13 OCT 1991,ETH,2,,Dubai (UAE),22 JAN 2016,1225
4,2:21:27,,Helah Jelagat KIPROP,07 APR 1985,KEN,1,,Tokyo (JPN),28 FEB 2016,1218
5,2:21:32,,Florence KIPLAGAT,27 FEB 1987,KEN,1,,"Chicago, IL (USA)",09 OCT 2016,1218
6,2:21:51,,Amane GOBENA,11 SEP 1986,ETH,2,,Tokyo (JPN),28 FEB 2016,1214
7,2:21:54,,Meselech MELKAMU,19 APR 1985,ETH,1,,Hamburg (GER),17 APR 2016,1214
8,2:22:17,,Kayoko FUKUSHI,25 MAR 1982,JPN,1,,Osaka (JPN),31 JAN 2016,1210
9,2:22:36,,Edna Ngeringwony KIPLAGAT,15 NOV 1979,KEN,3,,Tokyo (JPN),28 FEB 2016,1207
10,2:22:40,,Eunice Jepkirui KIRWA,20 MAY 1984,BRN,1,,Nagoya (JPN),13 MAR 2016,1206
11,2:22:58,,Jemima Jelagat SUMGONG,21 DEC 1984,KEN,1,,London (GBR),24 APR 2016,1203
12,2:23:03,,Tigist TUFA,26 JAN 1987,ETH,2,,London (GBR),24 APR 2016,1202
13,2:23:16,,Birhane DIBABA,11 SEP 1993,ETH,5,,Tokyo (JPN),28 FEB 2016,1200
14,2:23:18,,Philomena CHEYECH,05 JUL 1982,KEN,1,,Saitama (JPN),13 NOV 2016,1200
15,2:23:19,,Tomomi TANAKA,25 SEP 1988,JPN,2,,Nagoya (JPN),13 MAR 2016,1199
16,2:23:20,,Rei OHARA,10 AUG 1990,JPN,3,,Nagoya (JPN),13 MAR 2016,1199
17,2:23:41,,Valentine KIPKETER,05 JAN 1993,KEN,3,,"Chicago, IL (USA)",09 OCT 2016,1196
18,2:23:54,,Volha MAZURONAK,14 APR 1989,BLR,4,,London (GBR),24 APR 2016,1194
19,2:23:57,,Asselefech MEDESSA MERGIA,23 JAN 1985,ETH,5,,London (GBR),24 APR 2016,1193
20,2:24:00,,Sutume Asefa KEBEDE,11 DEC 1994,ETH,4,,Dubai (UAE),22 JAN 2016,1193
21,2:24:04,,Workenesh EDESA,11 SEP 1992,ETH,1,,Xiamen (CHN),02 JAN 2016,1192
22,2:24:09,,Mare DIBABA,20 OCT 1989,ETH,6,,London (GBR),24 APR 2016,1191
23,2:24:13,,Sarah CHEPCHIRCHIR,27 JUL 1984,KEN,1,,Lisboa (POR),02 OCT 2016,1190
24,2:24:14,,Rose CHELIMO,12 JUL 1989,BRN,1,,Seoul (KOR),20 MAR 2016,1190
25,2:24:24,,Mulu SEBOKA,25 SEP 1984,ETH,5,,Dubai (UAE),22 JAN 2016,1188
26,2:24:26,,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,1,,"New York, NY (USA)",06 NOV 2016,1188
27,2:24:27,,Abebech AFEWORK,11 DEC 1990,ETH,2,,Amsterdam (NED),16 OCT 2016,1188
28,2:24:28,,Melkam GIZAW,17 SEP 1990,ETH,2,,Seoul (KOR),20 MAR 2016,1188
29,2:24:31,,Shuko GENEMO,13 SEP 1995,ETH,1,,Wien (AUT),10 APR 2016,1187
30,2:24:32,,Marta MEGRA,30 DEC 1990,ETH,2,,Xiamen (CHN),02 JAN 2016,1187
30,2:24:32,,Mao KIYOTA,12 SEP 1993,JPN,4,,Nagoya (JPN),13 MAR 2016,1187
32,2:24:38,,Reia IWADE,08 DEC 1994,JPN,5,,Nagoya (JPN),13 MAR 2016,1186
33,2:24:41,,Ruti AGA,16 JAN 1994,ETH,3,,Berlin (GER),25 SEP 2016,1186
34,2:24:45,,Brigid KOSGEI,20 FEB 1994,KEN,2,,Lisboa (POR),02 OCT 2016,1185
35,2:24:46,,Lucy KARIMI,06 OCT 1986,KEN,1,,Praha (CZE),08 MAY 2016,1185
36,2:24:47,,Purity Cherotich RIONORIPO,10 JUN 1993,KEN,4,,"Chicago, IL (USA)",09 OCT 2016,1185
37,2:24:48,,Valary JEMELI,08 JUN 1991,KEN,1,,Valencia (ESP),20 NOV 2016,1184
38,2:24:49,,Yebrgual MELESE,18 APR 1990,ETH,5,,"Chicago, IL (USA)",09 OCT 2016,1184
39,2:24:59,,Agnes Jeruto BARSOSIO,05 AUG 1982,KEN,3,,Seoul (KOR),20 MAR 2016,1183
40,2:25:00,,Eunice Chebichii CHUMBA,23 MAY 1993,BRN,3,,Amsterdam (NED),16 OCT 2016,1182
41,2:25:03,,Boru Feyse TADESE,19 NOV 1988,ETH,7,,London (GBR),24 APR 2016,1182
42,2:25:04,,Shure DEMISE,21 JAN 1996,ETH,6,,Tokyo (JPN),28 FEB 2016,1182
43,2:25:09,,Sayaka KUWAHARA,08 MAR 1993,JPN,6,,Nagoya (JPN),13 MAR 2016,1181
44,2:25:13,,Nancy Jepkosgei KIPROP,07 JUL 1979,KEN,2,,Valencia (ESP),20 NOV 2016,1180
45,2:25:26,,Shalane FLANAGAN,08 JUL 1981,USA,6,,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1178
46,2:25:27,,Mamitu DASKA,16 OCT 1983,ETH,1,,Frankfurt (GER),30 OCT 2016,1178
47,2:25:29,,Shiho TAKECHI,18 AUG 1990,JPN,7,,Nagoya (JPN),13 MAR 2016,1178
48,2:25:36,,Shitaye ESHETE,21 MAY 1990,BRN,6,,Dubai (UAE),22 JAN 2016,1176
49,2:25:42,,Fate TOLA,22 OCT 1987,GER,2,,Frankfurt (GER),30 OCT 2016,1175
50,2:25:43,,Meseret LEGESE,26 AUG 1987,ETH,1,,Wuhan (CHN),10 APR 2016,1175
51,2:25:50,,Ashete BEKERE,17 APR 1988,ETH,7,,Tokyo (JPN),28 FEB 2016,1174
52,2:25:53,,Visiline JEPKESHO,30 DEC 1989,KEN,1,,Paris (FRA),03 APR 2016,1174
